trans_id,date,card,account,account_valid_to,client,last_name,first_name,patronymic,date_of_birth,passport,passport_valid_to,phone,oper_type,amount,oper_result,terminal,terminal_type,city,address
459270924,01/05/2020 00:00:29,59649132026167121328,40817810000001139973,1/16/2036,3-95179,Мисик,Сергей,Николаевич,6/25/1938,7076445954,11/9/2022,+79497481039,Пополнение,31576.6,Отказ,POS43792,POS,Славянск-на-Кубани,"Славянск-на-Кубани, ул. Клецкая, д. 86"
459270943,01/05/2020 00:02:46,54236863445669263724,40817810000006468175,11/15/2033,8-33140,Ачентов,Антон,Дмитриевич,8/4/1960,6403074379,9/13/2030,+79458324907,Пополнение,60041.1,Отказ,POS75616,POS,Пустошка,"Пустошка, ул. Цюрупинская, д. 78"
459270968,01/05/2020 00:05:14,45930894029725313464,40817810000009142118,3/18/2029,4-72043,Гуляков,Евгений,Константинович,8/15/1989,3354134791,6/24/2021,+79953939977,Снятие,18474.46,Успешно,POS28311,POS,Петровск-Забайкальский,"Петровск-Забайкальский, ул. Тагильская, д. 38"
459271057,01/05/2020 00:07:05,47550893546403715714,40817810000005559732,4/1/2028,1-85045,Гуляков,Кирилл,Петрович,9/18/1996,4783507057,1/8/2023,+79698158422,Пополнение,915.26,Успешно,ATM39555,ATM,Краснослободск,"Краснослободск, ул. Фогеля, д. 20"
459271064,01/05/2020 00:08:27,53036257457049008830,40817810000007495265,10/26/2037,5-77607,Мисик,Сергей,Олегович,5/8/1992,3195562178,9/27/2032,+79181011177,Оплата,75843.91,Отказ,ATM16730,ATM,Черкесск,"Черкесск, ул. Гинтовта, д. 56"
459271161,01/05/2020 00:09:16,42810999157069197448,40817810000003762026,7/4/2027,6-78748,Сноркин,Андрей,Антонович,11/20/1984,3602724796,10/16/2035,+79890926038,Оплата,52415.15,Успешно,POS64475,POS,Вичуга,"Вичуга, ул. Котляревского, д. 100"
459271162,01/05/2020 00:09:59,45080063716602427656,40817810000006914392,6/8/2032,6-40096,Ачентов,Владимир,Александрович,6/19/1943,6183431135,12/9/2040,+79943917322,Снятие,39265.25,Успешно,POS64475,POS,Вичуга,"Вичуга, ул. Котляревского, д. 100"
459271163,01/05/2020 00:11:37,59545483119724056521,40817810000001617265,3/10/2031,7-29452,Мисик,Андрей,Константинович,9/10/1950,9054168281,1/17/2031,+79652111522,Снятие,17880.89,Отказ,ATM90761,ATM,Морозовск,"Морозовск, ул. Васильковая, д. 13"
459271164,01/05/2020 00:13:49,42388100783866617513,40817810000001005464,11/23/2039,6-14693,Гладишкин,Александр,Михаилович,1/13/1996,7004798931,5/26/2035,+79239086361,Снятие,46074.67,Отказ,POS45875,POS,Воронеж,"Воронеж, ул. Раевского Николая, д. 22"
459271165,01/05/2020 00:14:48,43440125275047901246,40817810000005508931,11/6/2033,5-15302,Поджарый,Роман,Александрович,7/24/1951,7173036990,8/5/2036,+79343500689,Оплата,41054.44,Успешно,POS20393,POS,Тара,"Тара, ул. Уральская, д. 39"
